ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
RGC,1168696,3/15/05,20.23,20.34,9.07,20.18,20.18,9,3.259B
RGC,1168696,3/14/06,18.55,18.37,8.72,18.55,18.55,8.81,3.259B
RGC,1168696,2/26/07,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,2/26/08,20.51,20.77,12.04,20.63,20.63,11.96,3.259B
RGC,1168696,3/2/09,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,3/1/10,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,2/28/11,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,2/27/12,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,2/25/13,NA,NA,NA,NA,NA,NA,3.259B
RGC,1168696,2/24/14,NA,NA,NA,NA,NA,NA,3.259B
RGEN,730272,7/17/95,NA,NA,NA,NA,NA,NA,771.6M
RGEN,730272,6/27/96,1.06,0.94,0.94,1,1,1,771.6M
RGEN,730272,6/2/97,NA,NA,NA,NA,NA,NA,771.6M
RGEN,730272,6/26/98,1.53,1.56,1.56,1.53,1.53,1.53,771.6M
RGEN,730272,6/29/99,2.94,2.91,2.91,2.91,2.91,2.91,771.6M
RGEN,730272,6/23/00,5.88,5.81,5.81,6.12,6.12,6.12,771.6M
RGEN,730272,6/29/01,2.35,2.4,2.4,2.43,2.43,2.43,771.6M
RGEN,730272,5/24/02,2.67,2.82,2.82,2.49,2.49,2.49,771.6M
RGEN,730272,6/27/03,5.1,5.03,5.03,5.09,5.09,5.09,771.6M
RGEN,730272,6/14/04,NA,NA,NA,NA,NA,NA,771.6M
RGEN,730272,6/14/05,2.12,2.04,2.04,2.08,2.08,2.08,771.6M
RGEN,730272,6/9/06,3.05,3.06,3.06,3.06,3.06,3.06,771.6M
RGEN,730272,6/8/07,3.5,3.48,3.48,3.49,3.49,3.49,771.6M
RGEN,730272,6/13/08,5.58,5.26,5.26,5.57,5.57,5.57,771.6M
RGEN,730272,6/11/09,4.78,4.67,4.67,4.6,4.6,4.6,771.6M
RGEN,730272,6/10/10,3.32,3.36,3.36,3.27,3.27,3.27,771.6M
RGEN,730272,6/9/11,3.74,3.66,3.66,3.76,3.76,3.76,771.6M
RGEN,730272,3/15/12,4.81,4.87,4.87,4.81,4.81,4.81,771.6M
RGEN,730272,3/15/13,6.6,6.47,6.47,6.62,6.62,6.62,771.6M
RGEN,730272,3/14/14,14.83,14.98,14.98,14.92,14.92,14.92,771.6M
RGFR,1438035,7/1/09,NA,NA,NA,NA,NA,NA,39.0M
RGFR,1438035,7/16/10,NA,NA,NA,NA,NA,NA,39.0M
RGFR,1438035,6/1/11,NA,NA,NA,NA,NA,NA,39.0M
RGFR,1438035,7/16/12,NA,NA,NA,NA,NA,NA,39.0M
RGFR,1438035,5/5/14,NA,NA,NA,NA,NA,NA,39.0M
RGFR,1438035,7/15/14,2.5,0.8,0.8,3.3,3.3,3.3,39.0M
RGIN,1412659,1/6/09,NA,NA,NA,NA,NA,NA,2.3M
